Capacity(GB),Finish,product_code,Model,carrier_code
256GB,Red,MGF13LL/A,iphone 12,ATT_IPHONE12
64GB,White,MGF53LL/A,iphone 12,VERIZON_IPHONE12
128GB,White,MGFA3LL/A,iphone 12,VERIZON_IPHONE12
256GB,White,MGFG3LL/A,iphone 12,VERIZON_IPHONE12
64GB,Black,MGF43LL/A,iphone 12,VERIZON_IPHONE12
128GB,Black,MGF93LL/A,iphone 12,VERIZON_IPHONE12
256GB,Black,MGFF3LL/A,iphone 12,VERIZON_IPHONE12
64GB,Blue,MGF73LL/A,iphone 12,VERIZON_IPHONE12
128GB,Blue,MGFD3LL/A,iphone 12,VERIZON_IPHONE12
256GB,Blue,MGFJ3LL/A,iphone 12,VERIZON_IPHONE12
64GB,Green,MGF83LL/A,iphone 12,VERIZON_IPHONE12
128GB,Green,MGFE3LL/A,iphone 12,VERIZON_IPHONE12
256GB,Green,MGFK3LL/A,iphone 12,VERIZON_IPHONE12
64GB,Red,MGF63LL/A,iphone 12,VERIZON_IPHONE12
128GB,Red,MGFC3LL/A,iphone 12,VERIZON_IPHONE12
256GB,Red,MGFH3LL/A,iphone 12,VERIZON_IPHONE12
,,MH8D3LL/A,iphone 11,ATT_IPHONE11
,,MH8E3LL/A,iphone 11,ATT_IPHONE11
,,MH8F3LL/A,iphone 11,ATT_IPHONE11
,,MH8G3LL/A,iphone 11,ATT_IPHONE11
,,MH8H3LL/A,iphone 11,ATT_IPHONE11
,,MH8J3LL/A,iphone 11,ATT_IPHONE11
,,MH8K3LL/A,iphone 11,ATT_IPHONE11
,,MH8L3LL/A,iphone 11,ATT_IPHONE11
,,MH8M3LL/A,iphone 11,ATT_IPHONE11
,,MH8N3LL/A,iphone 11,ATT_IPHONE11
,,MH8P3LL/A,iphone 11,ATT_IPHONE11
,,MH8Q3LL/A,iphone 11,ATT_IPHONE11
,,MH8Y3LL/A,iphone 11,TMOBILE_IPHONE11
,,MH903LL/A,iphone 11,TMOBILE_IPHONE11
,,MH913LL/A,iphone 11,TMOBILE_IPHONE11
,,MH923LL/A,iphone 11,TMOBILE_IPHONE11
,,MH933LL/A,iphone 11,TMOBILE_IPHONE11
,,MH943LL/A,iphone 11,TMOBILE_IPHONE11
,,MH953LL/A,iphone 11,TMOBILE_IPHONE11
,,MH963LL/A,iphone 11,TMOBILE_IPHONE11
,,MH973LL/A,iphone 11,TMOBILE_IPHONE11
,,MH983LL/A,iphone 11,TMOBILE_IPHONE11
,,MH993LL/A,iphone 11,TMOBILE_IPHONE11
,,MH9A3LL/A,iphone 11,TMOBILE_IPHONE11
,,MHC43LL/A,iphone 11,VERIZON_IPHONE11
,,MHC53LL/A,iphone 11,VERIZON_IPHONE11
,,MHC63LL/A,iphone 11,VERIZON_IPHONE11
,,MHC73LL/A,iphone 11,VERIZON_IPHONE11
,,MHC83LL/A,iphone 11,VERIZON_IPHONE11
,,MHC93LL/A,iphone 11,VERIZON_IPHONE11
,,MHCA3LL/A,iphone 11,VERIZON_IPHONE11
,,MHCC3LL/A,iphone 11,VERIZON_IPHONE11
,,MHCD3LL/A,iphone 11,VERIZON_IPHONE11
,,MHCE3LL/A,iphone 11,VERIZON_IPHONE11
,,MHCF3LL/A,iphone 11,VERIZON_IPHONE11
,,MHCG3LL/A,iphone 11,VERIZON_IPHONE11
,,MHCP3LL/A,iphone 11,UNLOCKED/US
,,MHCQ3LL/A,iphone 11,UNLOCKED/US
,,MHCR3LL/A,iphone 11,UNLOCKED/US
,,MHCU3LL/A,iphone 11,UNLOCKED/US
,,MHCV3LL/A,iphone 11,UNLOCKED/US
,,MHCW3LL/A,iphone 11,UNLOCKED/US
,,MHCX3LL/A,iphone 11,UNLOCKED/US
,,MHCY3LL/A,iphone 11,UNLOCKED/US
,,MHD03LL/A,iphone 11,UNLOCKED/US
,,MHD13LL/A,iphone 11,UNLOCKED/US
,,MHD23LL/A,iphone 11,UNLOCKED/US
,,MHD33LL/A,iphone 11,UNLOCKED/US
